"stressor"
"CO2 - waste - biogenic - air"
"CO2 - non combustion - Cement production - air"
"CO2 - combustion - air"
"CO2 - non combustion - Lime production - air"
"CO2 - agriculture - peat decay - air"
"CO2 - waste - fossil - air"
